"DateTime","Taxa de Câmbio Nominal"
"2011-07-12",1.5773
"2011-07-13",1.5762
"2011-07-14",1.5729
"2011-07-15",1.5743
"2011-07-18",1.5828
"2011-07-19",1.5691
"2011-07-20",1.5651
"2011-07-21",1.5567
"2011-07-22",1.5547
"2011-07-25",1.5449
"2011-07-26",1.5345
"2011-07-27",1.5639
"2011-07-28",1.5651
"2011-07-29",1.5563
"2011-08-01",1.5551
"2011-08-02",1.5656
"2011-08-03",1.5651
"2011-08-04",1.5752
"2011-08-05",1.5895
"2011-08-08",1.5999
"2011-08-09",1.6334
"2011-08-10",1.6183
"2011-08-11",1.6306
"2011-08-12",1.6157
"2011-08-15",1.5956
"2011-08-16",1.5918
"2011-08-17",1.583
"2011-08-18",1.6062
"2011-08-19",1.596
"2011-08-22",1.6009
"2011-08-23",1.6036
"2011-08-24",1.6039
"2011-08-25",1.6154
"2011-08-26",1.6114
"2011-08-29",1.5974
"2011-08-30",1.5904
"2011-08-31",1.5872
"2011-09-01",1.604
"2011-09-02",1.6343
"2011-09-05",1.6522
"2011-09-06",1.6583
"2011-09-08",1.6566
"2011-09-09",1.6774
"2011-09-12",1.6899
"2011-09-13",1.7127
"2011-09-14",1.7288
"2011-09-15",1.7106
"2011-09-16",1.7122
"2011-09-19",1.7763
"2011-09-20",1.787
"2011-09-21",1.828
"2011-09-22",1.9016
"2011-09-23",1.8735
"2011-09-26",1.8445
"2011-09-27",1.8008
"2011-09-28",1.8131
"2011-09-29",1.8291
"2011-09-30",1.8544
"2011-10-03",1.8811
"2011-10-04",1.8856
"2011-10-05",1.8456
"2011-10-06",1.8116
"2011-10-07",1.7666
"2011-10-10",1.7478
"2011-10-11",1.7658
"2011-10-13",1.7536
"2011-10-14",1.7376
"2011-10-17",1.7488
"2011-10-18",1.7724
"2011-10-19",1.7604
"2011-10-20",1.7826
"2011-10-21",1.7803
"2011-10-24",1.7768
"2011-10-25",1.7548
"2011-10-26",1.7606
"2011-10-27",1.7323
"2011-10-28",1.6986
"2011-10-31",1.6885
"2011-11-01",1.7506
"2011-11-03",1.727
"2011-11-04",1.7415
"2011-11-07",1.7503
"2011-11-08",1.7453
"2011-11-09",1.7516
"2011-11-10",1.761
"2011-11-11",1.7547
"2011-11-14",1.7649
"2011-11-16",1.7772
"2011-11-17",1.7775
"2011-11-18",1.7723
"2011-11-21",1.8061
"2011-11-22",1.8069
"2011-11-23",1.8441
"2011-11-24",1.866
"2011-11-25",1.8937
"2011-11-28",1.8596
"2011-11-29",1.8486
"2011-11-30",1.8109
"2011-12-01",1.7929
"2011-12-02",1.7843
"2011-12-05",1.783
"2011-12-06",1.7913
"2011-12-07",1.798
"2011-12-08",1.7941
"2011-12-09",1.813
"2011-12-12",1.8219
"2011-12-13",1.8409
"2011-12-14",1.8728
"2011-12-15",1.8609
"2011-12-16",1.8465
"2011-12-19",1.8616
"2011-12-20",1.8508
"2011-12-21",1.8556
"2011-12-22",1.8578
"2011-12-23",1.856
"2011-12-26",1.8566
"2011-12-27",1.8585
"2011-12-28",1.8634
"2011-12-29",1.8758
"2011-12-30",1.8758
"2012-01-02",1.8683
"2012-01-03",1.8457
"2012-01-04",1.8272
"2012-01-05",1.8371
"2012-01-06",1.8449
"2012-01-09",1.8442
"2012-01-10",1.8042
"2012-01-11",1.8048
"2012-01-12",1.7874
"2012-01-13",1.7853
"2012-01-16",1.7836
"2012-01-17",1.776
"2012-01-18",1.7791
"2012-01-19",1.7648
"2012-01-20",1.767
"2012-01-23",1.7528
"2012-01-24",1.7649
"2012-01-25",1.7632
"2012-01-26",1.7389
"2012-01-27",1.7436
"2012-01-30",1.7509
"2012-01-31",1.7391
"2012-02-01",1.7376
"2012-02-02",1.7326
"2012-02-03",1.7223
"2012-02-06",1.7249
"2012-02-07",1.7261
"2012-02-08",1.7195
"2012-02-09",1.7225
"2012-02-10",1.726
"2012-02-13",1.7169
"2012-02-14",1.7173
"2012-02-15",1.7158
"2012-02-16",1.7326
"2012-02-17",1.7136
"2012-02-22",1.7076
"2012-02-23",1.704
"2012-02-24",1.7098
"2012-02-27",1.7088
"2012-02-28",1.7024
"2012-02-29",1.7092
"2012-03-01",1.7152
"2012-03-02",1.7245
"2012-03-05",1.7314
"2012-03-06",1.7556
"2012-03-07",1.7692
"2012-03-08",1.7697
"2012-03-09",1.7767
"2012-03-12",1.8157
"2012-03-13",1.8102
"2012-03-14",1.8146
"2012-03-15",1.8006
"2012-03-16",1.8018
"2012-03-19",1.809
"2012-03-20",1.8259
"2012-03-21",1.8267
"2012-03-22",1.825
"2012-03-23",1.8194
"2012-03-26",1.8143
"2012-03-27",1.8135
"2012-03-28",1.8223
"2012-03-29",1.8334
"2012-03-30",1.8221
