DATE,PALLFNFINDEXQ
2011-04-01,189.516403084167
2011-07-01,184.904346741239
2011-10-01,176.161924736606
2012-01-01,182.660239544736
2012-04-01,173.219310297947
2012-07-01,170.99852738162
2012-10-01,170.795414547173
2013-01-01,174.15318588382
2013-04-01,166.729635220386
2013-07-01,168.219875281834
2013-10-01,166.064615703341
2014-01-01,169.170147796108
2014-04-01,169.611146213538
2014-07-01,160.291992772104
2014-10-01,137.419216774678
2015-01-01,115.128601294096
2015-04-01,116.679586501513
2015-07-01,104.875494934379
2015-10-01,96.4323724549783
2016-01-01,88.7672371292453
2016-04-01,100.183253958371
2016-07-01,103.163464399902
2016-10-01,107.886044512481
2017-01-01,114.383542176596
2017-04-01,108.486239126609
2017-07-01,111.474208616686
2017-10-01,119.837974646555
2018-01-01,127.675756685972
2018-04-01,131.128140267817
2018-07-01,130.2259131319
2018-10-01,123.747217463063
2019-01-01,118.666601751064
2019-04-01,119.807737952454
2019-07-01,115.163100910228
2019-10-01,116.661105914123
2020-01-01,108.078766962692
2020-04-01,91.7264973145972
2020-07-01,106.738518350185
2020-10-01,117.09871700482
2021-01-01,139.73537785476
